V1,V2,V3,V4,V5,V6,V7,V8,target
F,0.56,0.435,0.185,1.106,0.422,0.2435,0.33,3.0
M,0.585,0.465,0.19,1.171,0.3905,0.2355,0.4,3.0
I,0.46,0.335,0.11,0.444,0.225,0.0745,0.11,1.0
F,0.46,0.36,0.115,0.4755,0.2105,0.105,0.16,1.0
M,0.415,0.315,0.125,0.388,0.068,0.09,0.125,3.0
F,0.435,0.32,0.12,0.3785,0.152,0.0915,0.125,3.0
F,0.475,0.38,0.135,0.486,0.1735,0.07,0.185,1.0
M,0.465,0.36,0.13,0.5265,0.2105,0.1185,0.165,2.0
I,0.355,0.28,0.1,0.2275,0.0935,0.0455,0.085,3.0
M,0.46,0.375,0.14,0.5105,0.192,0.1045,0.205,2.0
F,0.38,0.325,0.11,0.3105,0.12,0.074,0.105,2.0
F,0.47,0.365,0.12,0.543,0.2295,0.1495,0.15,2.0
M,0.36,0.27,0.09,0.2225,0.083,0.053,0.075,1.0
F,0.585,0.455,0.165,0.998,0.345,0.2495,0.315,3.0
M,0.655,0.59,0.2,1.5455,0.654,0.3765,0.415,3.0
M,0.6,0.485,0.175,1.2675,0.4995,0.2815,0.38,3.0
F,0.57,0.46,0.17,1.1,0.4125,0.2205,0.38,3.0
F,0.645,0.5,0.2,1.4285,0.639,0.305,0.36,3.0
M,0.65,0.495,0.18,1.793,0.8005,0.339,0.53,3.0
M,0.51,0.395,0.145,0.6185,0.216,0.1385,0.24,3.0
M,0.52,0.38,0.135,0.5825,0.2505,0.1565,0.175,1.0
M,0.495,0.415,0.165,0.7485,0.264,0.134,0.285,3.0
M,0.43,0.335,0.115,0.406,0.166,0.0935,0.135,1.0
F,0.59,0.465,0.16,1.1005,0.506,0.2525,0.295,3.0
M,0.55,0.46,0.175,0.869,0.3155,0.1825,0.32,2.0
M,0.585,0.43,0.16,0.955,0.3625,0.176,0.27,3.0
F,0.58,0.455,0.16,0.9215,0.312,0.196,0.3,3.0
F,0.62,0.51,0.15,1.456,0.581,0.2875,0.32,3.0
I,0.59,0.45,0.16,0.893,0.2745,0.2185,0.345,3.0
F,0.72,0.575,0.215,2.226,0.8955,0.405,0.62,3.0
F,0.635,0.51,0.175,1.2125,0.5735,0.261,0.36,3.0
F,0.61,0.48,0.175,1.0675,0.391,0.216,0.42,3.0
F,0.545,0.445,0.175,0.8525,0.3465,0.189,0.295,3.0
M,0.57,0.45,0.16,0.8615,0.3725,0.2175,0.255,3.0
F,0.6,0.475,0.18,1.162,0.511,0.2675,0.32,3.0
F,0.52,0.41,0.17,0.8705,0.3735,0.219,0.25,3.0
M,0.635,0.51,0.21,1.598,0.6535,0.2835,0.58,3.0
F,0.67,0.52,0.15,1.406,0.519,0.348,0.37,3.0
M,0.695,0.57,0.2,2.033,0.751,0.4255,0.685,3.0
M,0.655,0.525,0.185,1.259,0.487,0.2215,0.445,3.0
F,0.62,0.48,0.23,1.0935,0.403,0.245,0.355,3.0
F,0.6,0.475,0.18,1.1805,0.4345,0.2475,0.425,3.0
M,0.51,0.405,0.13,0.7175,0.3725,0.158,0.17,2.0
M,0.525,0.405,0.135,0.7575,0.3305,0.216,0.195,2.0
M,0.44,0.375,0.13,0.487,0.226,0.0965,0.155,2.0
I,0.485,0.415,0.14,0.5705,0.25,0.134,0.185,1.0
F,0.495,0.385,0.13,0.6905,0.3125,0.179,0.175,2.0
I,0.435,0.345,0.12,0.4475,0.221,0.112,0.125,1.0
I,0.405,0.315,0.105,0.347,0.1605,0.0785,0.1,2.0
I,0.42,0.33,0.1,0.352,0.1635,0.089,0.1,2.0
F,0.5,0.395,0.15,0.7145,0.3235,0.173,0.195,2.0
F,0.385,0.305,0.105,0.3315,0.1365,0.0745,0.1,1.0
I,0.33,0.265,0.09,0.18,0.068,0.036,0.06,1.0
F,0.58,0.475,0.155,0.974,0.4305,0.23,0.285,2.0
I,0.325,0.27,0.1,0.185,0.08,0.0435,0.065,1.0
M,0.475,0.375,0.12,0.563,0.2525,0.1205,0.185,2.0
F,0.38,0.3,0.09,0.3215,0.1545,0.075,0.095,2.0
I,0.34,0.26,0.09,0.179,0.076,0.0525,0.055,1.0
M,0.525,0.425,0.12,0.702,0.3335,0.1465,0.22,3.0
F,0.52,0.415,0.145,0.8045,0.3325,0.1725,0.285,2.0
F,0.535,0.45,0.135,0.8075,0.322,0.181,0.25,3.0
M,0.475,0.36,0.12,0.578,0.2825,0.12,0.17,1.0
I,0.415,0.325,0.1,0.385,0.167,0.08,0.125,1.0
I,0.495,0.385,0.125,0.585,0.2755,0.1235,0.165,1.0
F,0.48,0.405,0.13,0.6375,0.277,0.1445,0.21,2.0
F,0.52,0.425,0.15,0.813,0.385,0.2015,0.23,2.0
M,0.46,0.375,0.13,0.5735,0.2505,0.119,0.195,2.0
F,0.58,0.455,0.12,0.94,0.399,0.257,0.265,3.0
M,0.59,0.49,0.135,1.008,0.422,0.2245,0.285,3.0
F,0.55,0.415,0.135,0.775,0.302,0.179,0.26,3.0
F,0.65,0.5,0.165,1.1445,0.485,0.218,0.365,3.0
F,0.465,0.375,0.135,0.6,0.2225,0.129,0.23,3.0
M,0.455,0.355,0.13,0.515,0.2,0.1275,0.175,3.0
M,0.47,0.375,0.13,0.5795,0.2145,0.164,0.195,3.0
F,0.435,0.35,0.11,0.384,0.143,0.1005,0.125,3.0
M,0.35,0.265,0.11,0.2965,0.1365,0.063,0.085,1.0
I,0.315,0.24,0.07,0.137,0.0545,0.0315,0.04,1.0
M,0.595,0.47,0.145,0.991,0.4035,0.1505,0.34,3.0
F,0.58,0.475,0.135,0.925,0.391,0.165,0.275,3.0
M,0.575,0.435,0.15,0.805,0.293,0.1625,0.27,3.0
M,0.535,0.435,0.155,0.8915,0.3415,0.177,0.25,3.0
M,0.515,0.42,0.14,0.769,0.2505,0.154,0.29,3.0
F,0.505,0.385,0.135,0.6185,0.251,0.1175,0.2,3.0
F,0.505,0.395,0.145,0.6515,0.2695,0.153,0.205,3.0
I,0.4,0.31,0.1,0.2875,0.1145,0.0635,0.095,2.0
M,0.49,0.395,0.135,0.5545,0.213,0.0925,0.215,3.0
M,0.53,0.435,0.135,0.7365,0.3275,0.1315,0.22,3.0
I,0.395,0.325,0.105,0.306,0.111,0.0735,0.095,1.0
F,0.665,0.535,0.19,1.496,0.5775,0.2815,0.475,3.0
F,0.415,0.305,0.105,0.3605,0.12,0.082,0.1,2.0
M,0.43,0.345,0.115,0.3045,0.0925,0.055,0.12,3.0
M,0.475,0.395,0.135,0.592,0.2465,0.1645,0.2,3.0
F,0.525,0.425,0.145,0.7995,0.3345,0.209,0.24,3.0
I,0.48,0.39,0.145,0.5825,0.2315,0.121,0.255,3.0
I,0.42,0.345,0.115,0.3435,0.1515,0.0795,0.115,2.0
M,0.59,0.46,0.155,0.906,0.327,0.1485,0.335,3.0
F,0.515,0.42,0.135,0.6295,0.2815,0.127,0.215,2.0
M,0.695,0.55,0.22,1.5515,0.566,0.3835,0.445,3.0
F,0.8,0.63,0.195,2.526,0.933,0.59,0.62,3.0
M,0.61,0.49,0.15,1.103,0.425,0.2025,0.36,3.0
F,0.565,0.48,0.175,0.957,0.3885,0.215,0.275,3.0
M,0.56,0.455,0.165,0.86,0.4015,0.1695,0.245,3.0
M,0.655,0.485,0.195,1.62,0.6275,0.358,0.485,3.0
M,0.64,0.52,0.2,1.407,0.566,0.304,0.455,3.0
F,0.59,0.47,0.17,0.9,0.355,0.1905,0.25,3.0
I,0.31,0.24,0.09,0.1455,0.0605,0.0315,0.045,1.0
I,0.255,0.185,0.07,0.075,0.028,0.018,0.025,1.0
I,0.17,0.125,0.055,0.0235,0.009,0.0055,0.008,1.0
M,0.67,0.55,0.17,1.247,0.472,0.2455,0.4,3.0
F,0.71,0.565,0.195,1.7265,0.638,0.3365,0.565,3.0
F,0.56,0.43,0.125,0.8025,0.313,0.1715,0.263,3.0
M,0.505,0.4,0.13,0.764,0.3035,0.189,0.2175,3.0
M,0.525,0.43,0.165,0.8645,0.376,0.1945,0.2515,3.0
F,0.45,0.36,0.105,0.4715,0.2035,0.0935,0.149,2.0
F,0.515,0.435,0.17,0.631,0.2765,0.111,0.216,3.0
M,0.59,0.475,0.16,0.9455,0.3815,0.184,0.27,3.0
M,0.7,0.53,0.19,1.3185,0.548,0.233,0.42,3.0
F,0.72,0.56,0.175,1.7265,0.637,0.3415,0.525,3.0
M,0.635,0.495,0.15,1.081,0.4825,0.242,0.31,3.0
M,0.555,0.44,0.135,0.9025,0.3805,0.2105,0.28,3.0
M,0.575,0.47,0.15,1.1415,0.4515,0.204,0.4,3.0
M,0.585,0.455,0.125,1.027,0.391,0.212,0.25,3.0
F,0.61,0.485,0.21,1.3445,0.535,0.2205,0.515,3.0
F,0.645,0.525,0.2,1.449,0.601,0.2565,0.505,3.0
F,0.545,0.44,0.175,0.7745,0.2985,0.1875,0.265,3.0
M,0.55,0.45,0.155,0.7895,0.343,0.159,0.25,3.0
F,0.66,0.525,0.205,1.3665,0.5005,0.291,0.41,3.0
M,0.57,0.475,0.195,1.0295,0.4635,0.1905,0.305,3.0
F,0.6,0.47,0.2,1.031,0.392,0.2035,0.29,3.0
F,0.63,0.505,0.165,1.065,0.4595,0.216,0.315,3.0
M,0.695,0.57,0.23,1.885,0.8665,0.435,0.5,3.0
M,0.65,0.545,0.16,1.2425,0.487,0.296,0.48,3.0
F,0.72,0.595,0.225,1.969,0.8045,0.423,0.66,3.0
I,0.56,0.44,0.17,0.9445,0.3545,0.2175,0.3,3.0
I,0.42,0.325,0.115,0.354,0.1625,0.064,0.105,1.0
M,0.18,0.125,0.05,0.023,0.0085,0.0055,0.01,1.0
F,0.405,0.325,0.11,0.3575,0.145,0.0725,0.11,3.0
F,0.5,0.405,0.15,0.5965,0.253,0.126,0.185,3.0
I,0.435,0.335,0.11,0.383,0.1555,0.0675,0.135,3.0
M,0.34,0.275,0.09,0.2065,0.0725,0.043,0.07,2.0
F,0.43,0.34,0.11,0.382,0.154,0.0955,0.109,1.0
I,0.535,0.41,0.155,0.6315,0.2745,0.1415,0.1815,3.0
I,0.415,0.325,0.115,0.3285,0.1405,0.051,0.106,3.0
F,0.36,0.265,0.09,0.2165,0.096,0.037,0.0735,2.0
M,0.175,0.135,0.04,0.0305,0.011,0.0075,0.01,1.0
M,0.155,0.115,0.025,0.024,0.009,0.005,0.0075,1.0
I,0.525,0.43,0.15,0.7365,0.3225,0.161,0.215,3.0
F,0.525,0.39,0.135,0.6005,0.2265,0.131,0.21,3.0
F,0.44,0.345,0.105,0.4285,0.165,0.083,0.132,3.0
F,0.45,0.345,0.115,0.496,0.1905,0.117,0.14,3.0
F,0.485,0.365,0.14,0.6195,0.2595,0.1445,0.177,3.0
I,0.47,0.35,0.135,0.567,0.2315,0.1465,0.1525,3.0
I,0.515,0.375,0.14,0.6505,0.2495,0.141,0.2215,2.0
M,0.42,0.34,0.125,0.4495,0.165,0.1125,0.144,3.0
F,0.455,0.35,0.125,0.4485,0.1585,0.102,0.1335,3.0
M,0.37,0.29,0.09,0.241,0.11,0.045,0.069,2.0
M,0.33,0.25,0.09,0.197,0.085,0.041,0.0605,2.0
I,0.3,0.22,0.09,0.1425,0.057,0.0335,0.043,1.0
I,0.625,0.46,0.16,1.2395,0.55,0.273,0.38,3.0
I,0.61,0.475,0.17,1.0385,0.4435,0.241,0.32,3.0
I,0.625,0.465,0.155,0.972,0.404,0.1845,0.35,3.0
I,0.635,0.505,0.19,1.3315,0.5805,0.252,0.435,3.0
I,0.5,0.385,0.155,0.762,0.3795,0.161,0.19,3.0
F,0.53,0.43,0.17,0.775,0.35,0.152,0.235,3.0
I,0.445,0.33,0.1,0.437,0.163,0.0755,0.17,3.0
F,0.585,0.415,0.155,0.6985,0.3,0.146,0.195,3.0
I,0.44,0.355,0.165,0.435,0.159,0.105,0.14,3.0
M,0.29,0.225,0.08,0.1295,0.0535,0.026,0.045,2.0
I,0.555,0.455,0.17,0.8435,0.309,0.1905,0.3,3.0
I,0.655,0.515,0.145,1.25,0.5265,0.283,0.315,3.0
F,0.58,0.46,0.185,1.017,0.3515,0.2,0.32,2.0
I,0.625,0.43,0.175,1.411,0.572,0.297,0.395,3.0
I,0.62,0.485,0.17,1.208,0.4805,0.3045,0.33,3.0
F,0.64,0.5,0.15,1.0705,0.371,0.2705,0.36,1.0
F,0.505,0.375,0.115,0.5895,0.2635,0.12,0.167,2.0
I,0.5,0.395,0.12,0.537,0.2165,0.1085,0.1785,2.0
M,0.31,0.245,0.095,0.15,0.0525,0.034,0.048,1.0
F,0.505,0.38,0.145,0.651,0.2935,0.19,0.17,3.0
I,0.42,0.305,0.11,0.28,0.094,0.0785,0.0955,2.0
M,0.4,0.315,0.105,0.287,0.1135,0.037,0.113,2.0
M,0.425,0.315,0.125,0.3525,0.1135,0.0565,0.13,3.0
M,0.31,0.235,0.06,0.12,0.0415,0.033,0.04,3.0
F,0.465,0.35,0.13,0.494,0.1945,0.103,0.155,3.0
F,0.465,0.36,0.12,0.4765,0.192,0.1125,0.16,2.0
M,0.35,0.255,0.085,0.2145,0.1,0.0465,0.06,3.0
I,0.52,0.415,0.16,0.595,0.2105,0.142,0.26,3.0
F,0.475,0.365,0.13,0.4805,0.1905,0.114,0.1475,3.0
F,0.41,0.315,0.11,0.321,0.1255,0.0655,0.095,2.0
M,0.26,0.2,0.065,0.096,0.044,0.027,0.03,1.0
I,0.575,0.45,0.17,0.9315,0.358,0.2145,0.26,3.0
I,0.565,0.435,0.155,0.782,0.2715,0.168,0.285,3.0
M,0.26,0.19,0.075,0.0945,0.0445,0.02,0.03,1.0
F,0.53,0.385,0.125,0.6695,0.289,0.151,0.18,2.0
M,0.34,0.255,0.095,0.213,0.081,0.034,0.07,2.0
I,0.52,0.38,0.14,0.525,0.1775,0.115,0.185,3.0
F,0.635,0.5,0.18,1.312,0.529,0.2485,0.485,3.0
F,0.61,0.485,0.165,1.087,0.4255,0.232,0.38,3.0
F,0.66,0.515,0.18,1.523,0.54,0.3365,0.555,3.0
I,0.635,0.5,0.18,1.319,0.5485,0.292,0.49,3.0
F,0.465,0.38,0.135,0.579,0.208,0.1095,0.22,3.0
M,0.515,0.4,0.16,0.8175,0.2515,0.156,0.3,3.0
I,0.335,0.24,0.095,0.17,0.062,0.039,0.055,2.0
F,0.515,0.4,0.17,0.796,0.258,0.1755,0.28,3.0
F,0.345,0.255,0.1,0.197,0.071,0.051,0.06,2.0
M,0.465,0.355,0.125,0.5255,0.2025,0.135,0.145,3.0
M,0.54,0.415,0.17,0.879,0.339,0.208,0.255,2.0
M,0.475,0.355,0.125,0.4625,0.186,0.107,0.145,2.0
F,0.445,0.335,0.14,0.4565,0.1785,0.114,0.14,3.0
M,0.5,0.355,0.14,0.528,0.2125,0.149,0.14,2.0
M,0.5,0.38,0.135,0.5835,0.2295,0.1265,0.18,3.0
F,0.55,0.435,0.17,0.884,0.2875,0.1645,0.28,3.0
I,0.275,0.205,0.08,0.096,0.036,0.0185,0.03,1.0
F,0.35,0.265,0.09,0.1855,0.0745,0.0415,0.06,1.0
F,0.37,0.285,0.105,0.27,0.1125,0.0585,0.0835,2.0
F,0.42,0.33,0.125,0.463,0.186,0.11,0.145,2.0
M,0.35,0.26,0.09,0.198,0.0725,0.056,0.06,2.0
M,0.395,0.305,0.105,0.282,0.0975,0.065,0.096,2.0
I,0.325,0.2,0.08,0.0995,0.0395,0.0225,0.032,1.0
I,0.275,0.2,0.065,0.092,0.0385,0.0235,0.027,1.0
I,0.235,0.17,0.065,0.0625,0.023,0.014,0.022,1.0
I,0.25,0.18,0.06,0.073,0.028,0.017,0.0225,1.0
I,0.25,0.185,0.065,0.071,0.027,0.0185,0.0225,1.0
I,0.2,0.145,0.05,0.036,0.0125,0.008,0.011,1.0
F,0.585,0.47,0.17,1.099,0.3975,0.2325,0.358,3.0
M,0.445,0.35,0.14,0.5905,0.2025,0.158,0.19,3.0
F,0.5,0.385,0.13,0.768,0.2625,0.095,0.27,3.0
M,0.44,0.325,0.08,0.413,0.144,0.1015,0.13,1.0
M,0.515,0.405,0.14,0.8505,0.312,0.146,0.315,3.0
F,0.52,0.405,0.14,0.6915,0.276,0.137,0.215,3.0
M,0.5,0.39,0.13,0.709,0.275,0.168,0.18,3.0
M,0.425,0.325,0.12,0.3755,0.142,0.1065,0.105,2.0
M,0.51,0.415,0.14,0.8185,0.3025,0.2155,0.235,3.0
F,0.37,0.275,0.08,0.227,0.093,0.0625,0.07,1.0
M,0.54,0.415,0.13,0.8245,0.272,0.226,0.24,3.0
M,0.615,0.475,0.17,1.1825,0.474,0.2895,0.24,3.0
M,0.565,0.44,0.175,1.122,0.393,0.2,0.375,3.0
M,0.645,0.515,0.175,1.6115,0.6745,0.384,0.385,3.0
F,0.615,0.47,0.175,1.2985,0.5135,0.343,0.32,3.0
M,0.605,0.49,0.145,1.3,0.517,0.3285,0.31,3.0
F,0.59,0.455,0.165,1.161,0.38,0.2455,0.28,3.0
M,0.645,0.485,0.155,1.489,0.5915,0.312,0.38,3.0
M,0.57,0.42,0.155,1.008,0.377,0.193,0.34,3.0
F,0.47,0.355,0.18,0.441,0.1525,0.1165,0.135,1.0
F,0.5,0.44,0.155,0.742,0.2025,0.2005,0.2115,3.0
F,0.52,0.425,0.145,0.7,0.207,0.1905,0.24,3.0
M,0.39,0.285,0.095,0.271,0.11,0.06,0.08,1.0
M,0.52,0.4,0.165,0.8565,0.2745,0.201,0.21,3.0
F,0.54,0.415,0.175,0.8975,0.275,0.241,0.275,3.0
M,0.46,0.36,0.135,0.6105,0.1955,0.107,0.235,3.0
I,0.355,0.26,0.09,0.1925,0.077,0.038,0.065,1.0
F,0.49,0.4,0.145,0.6635,0.21,0.1295,0.2515,3.0
F,0.63,0.51,0.185,1.235,0.5115,0.349,0.3065,3.0
M,0.5,0.385,0.145,0.7615,0.246,0.195,0.204,3.0
M,0.49,0.39,0.135,0.592,0.242,0.096,0.1835,3.0
M,0.44,0.325,0.115,0.39,0.163,0.087,0.113,1.0
F,0.515,0.395,0.165,0.7565,0.1905,0.17,0.3205,2.0
F,0.475,0.38,0.145,0.57,0.167,0.118,0.187,3.0
I,0.42,0.31,0.1,0.2865,0.115,0.0735,0.085,1.0
M,0.4,0.305,0.13,0.2935,0.096,0.0675,0.105,2.0
M,0.45,0.36,0.16,0.567,0.174,0.1245,0.225,3.0
F,0.52,0.4,0.13,0.6245,0.215,0.2065,0.17,3.0
M,0.505,0.4,0.155,0.8415,0.2715,0.1775,0.285,3.0
M,0.495,0.4,0.14,0.7775,0.2015,0.18,0.25,3.0
M,0.54,0.41,0.145,0.989,0.2815,0.213,0.355,3.0
F,0.48,0.39,0.125,0.6905,0.219,0.155,0.2,3.0
F,0.33,0.26,0.08,0.2,0.0625,0.05,0.07,2.0
I,0.285,0.21,0.07,0.109,0.044,0.0265,0.033,1.0
I,0.3,0.23,0.075,0.127,0.052,0.03,0.0345,1.0
I,0.31,0.24,0.105,0.2885,0.118,0.065,0.083,1.0
I,0.34,0.255,0.075,0.18,0.0745,0.04,0.0525,1.0
I,0.375,0.3,0.075,0.144,0.059,0.03,0.044,1.0
I,0.415,0.325,0.1,0.4665,0.2285,0.1065,0.114,1.0
I,0.415,0.315,0.105,0.33,0.1405,0.0705,0.095,1.0
I,0.415,0.315,0.09,0.3625,0.175,0.0835,0.093,1.0
I,0.42,0.32,0.1,0.34,0.1745,0.05,0.0945,1.0
I,0.425,0.31,0.105,0.365,0.159,0.0825,0.105,1.0
M,0.465,0.375,0.11,0.5,0.21,0.113,0.1505,1.0
F,0.465,0.35,0.135,0.6265,0.259,0.1445,0.175,1.0
I,0.47,0.37,0.11,0.5555,0.25,0.115,0.163,1.0
F,0.47,0.375,0.12,0.6015,0.2765,0.1455,0.135,1.0
I,0.475,0.365,0.12,0.53,0.2505,0.0975,0.1625,2.0
M,0.48,0.37,0.135,0.6315,0.3445,0.1015,0.161,1.0
M,0.5,0.4,0.13,0.7715,0.37,0.16,0.211,1.0
I,0.505,0.39,0.185,0.6125,0.267,0.142,0.172,1.0
M,0.525,0.425,0.19,0.872,0.4625,0.1725,0.199,2.0
M,0.54,0.42,0.12,0.8115,0.392,0.1455,0.2235,2.0
M,0.545,0.45,0.15,0.8795,0.387,0.15,0.2625,3.0
F,0.565,0.44,0.15,0.983,0.4475,0.2355,0.2485,2.0
M,0.58,0.46,0.18,1.145,0.48,0.277,0.325,3.0
M,0.59,0.455,0.16,1.09,0.5,0.2215,0.292,2.0
M,0.59,0.48,0.16,1.262,0.5685,0.2725,0.335,2.0
M,0.595,0.49,0.185,1.185,0.482,0.2015,0.361,2.0
F,0.6,0.475,0.135,1.4405,0.5885,0.191,0.3175,2.0
F,0.6,0.5,0.155,1.332,0.6235,0.2835,0.35,1.0
F,0.6,0.485,0.165,1.1405,0.587,0.2175,0.288,2.0
M,0.605,0.475,0.175,1.201,0.5395,0.275,0.309,2.0
F,0.625,0.49,0.155,1.33,0.6675,0.259,0.33,2.0
M,0.63,0.5,0.185,1.362,0.5785,0.3125,0.384,2.0
M,0.64,0.585,0.195,1.647,0.7225,0.331,0.471,3.0
F,0.64,0.5,0.18,1.4995,0.593,0.314,0.431,3.0
F,0.655,0.545,0.165,1.6225,0.6555,0.299,0.513,3.0
I,0.66,0.525,0.215,1.786,0.6725,0.3615,0.4065,3.0
M,0.66,0.535,0.2,1.791,0.733,0.318,0.54,3.0
F,0.675,0.555,0.205,1.925,0.713,0.358,0.4535,3.0
F,0.675,0.55,0.175,1.689,0.694,0.371,0.474,3.0
F,0.69,0.55,0.18,1.659,0.8715,0.2655,0.4395,2.0
F,0.695,0.53,0.2,2.0475,0.75,0.4195,0.6095,3.0
F,0.7,0.525,0.19,1.6015,0.707,0.365,0.43,2.0
F,0.73,0.57,0.165,2.0165,1.0685,0.418,0.435,2.0
I,0.205,0.15,0.065,0.04,0.02,0.011,0.013,1.0
I,0.225,0.17,0.07,0.0565,0.024,0.013,0.016,1.0
I,0.23,0.18,0.05,0.064,0.0215,0.0135,0.02,1.0
I,0.275,0.195,0.07,0.0875,0.0345,0.022,0.0255,1.0
I,0.28,0.21,0.055,0.106,0.0415,0.0265,0.031,1.0
I,0.28,0.22,0.08,0.1315,0.066,0.024,0.03,1.0
I,0.295,0.22,0.07,0.126,0.0515,0.0275,0.035,1.0
I,0.31,0.225,0.075,0.155,0.065,0.037,0.0365,1.0
I,0.315,0.235,0.07,0.149,0.058,0.0325,0.047,1.0
I,0.34,0.265,0.07,0.185,0.0625,0.0395,0.07,1.0
I,0.37,0.29,0.08,0.2545,0.108,0.0565,0.07,1.0
I,0.38,0.285,0.085,0.237,0.115,0.0405,0.07,1.0
I,0.39,0.295,0.1,0.279,0.1155,0.059,0.08,1.0
I,0.405,0.31,0.065,0.3205,0.1575,0.066,0.088,1.0
I,0.415,0.325,0.1,0.3335,0.1445,0.0715,0.095,1.0
I,0.44,0.335,0.11,0.3885,0.175,0.0835,0.111,1.0
I,0.44,0.345,0.115,0.545,0.269,0.111,0.1305,1.0
I,0.44,0.325,0.1,0.4165,0.185,0.0865,0.11,1.0
I,0.44,0.355,0.12,0.495,0.231,0.11,0.125,1.0
I,0.45,0.35,0.125,0.4775,0.2235,0.089,0.118,1.0
I,0.45,0.35,0.12,0.468,0.2005,0.1065,0.1325,1.0
F,0.455,0.35,0.12,0.4555,0.1945,0.1045,0.1375,1.0
F,0.46,0.35,0.115,0.46,0.2025,0.1115,0.1165,1.0
I,0.46,0.345,0.12,0.4155,0.198,0.0885,0.107,1.0
I,0.46,0.345,0.115,0.4215,0.1895,0.102,0.111,1.0
I,0.465,0.355,0.11,0.474,0.23,0.1005,0.12,1.0
M,0.465,0.34,0.105,0.486,0.231,0.1035,0.1225,2.0
I,0.475,0.385,0.11,0.5735,0.311,0.1025,0.136,1.0
I,0.475,0.355,0.105,0.468,0.201,0.1115,0.12,1.0
M,0.48,0.37,0.1,0.5135,0.243,0.1015,0.135,1.0
M,0.5,0.375,0.145,0.6215,0.274,0.166,0.1485,1.0
I,0.5,0.38,0.11,0.494,0.218,0.09,0.1325,1.0
I,0.505,0.385,0.12,0.6005,0.239,0.142,0.185,1.0
M,0.515,0.395,0.12,0.646,0.285,0.1365,0.172,2.0
M,0.525,0.415,0.135,0.7945,0.394,0.189,0.202,1.0
M,0.525,0.425,0.125,0.812,0.4035,0.1705,0.195,1.0
F,0.53,0.42,0.17,0.828,0.41,0.208,0.1505,1.0
M,0.53,0.41,0.14,0.681,0.3095,0.1415,0.1835,1.0
F,0.53,0.405,0.15,0.889,0.4055,0.2275,0.215,1.0
M,0.54,0.435,0.14,0.7345,0.33,0.1595,0.213,2.0
F,0.55,0.425,0.125,0.964,0.5475,0.159,0.215,1.0
F,0.555,0.425,0.14,0.963,0.44,0.224,0.24,1.0
F,0.57,0.445,0.15,0.995,0.504,0.185,0.2505,2.0
F,0.57,0.435,0.14,0.8585,0.3905,0.196,0.2295,1.0
M,0.575,0.45,0.155,0.948,0.429,0.206,0.259,1.0
F,0.58,0.445,0.145,0.888,0.41,0.1815,0.2425,1.0
F,0.585,0.45,0.16,0.9045,0.405,0.2215,0.2335,1.0
M,0.59,0.465,0.14,1.046,0.4695,0.263,0.263,1.0
F,0.595,0.47,0.155,1.1775,0.542,0.269,0.31,2.0
F,0.595,0.465,0.15,1.0765,0.491,0.22,0.287,2.0
F,0.595,0.465,0.15,1.0255,0.412,0.2745,0.289,3.0
F,0.6,0.46,0.145,0.9325,0.3985,0.2245,0.248,1.0
F,0.6,0.46,0.15,1.235,0.6025,0.274,0.29,1.0
M,0.6,0.46,0.15,1.247,0.5335,0.2735,0.29,2.0
M,0.61,0.48,0.15,1.1495,0.564,0.274,0.264,1.0
F,0.615,0.485,0.16,1.1575,0.5005,0.2495,0.315,2.0
F,0.615,0.5,0.165,1.327,0.6,0.3015,0.355,2.0
M,0.615,0.47,0.155,1.2,0.5085,0.32,0.292,1.0
F,0.62,0.51,0.175,1.2705,0.5415,0.323,0.3225,2.0
F,0.62,0.485,0.175,1.2155,0.545,0.253,0.345,2.0
F,0.62,0.475,0.16,1.3245,0.6865,0.233,0.3275,2.0
M,0.625,0.48,0.17,1.3555,0.671,0.268,0.3385,2.0
F,0.625,0.49,0.165,1.127,0.477,0.2365,0.3185,2.0
F,0.625,0.49,0.175,1.1075,0.4485,0.2165,0.3595,1.0
F,0.63,0.495,0.2,1.4255,0.659,0.336,0.38,3.0
F,0.63,0.495,0.145,1.147,0.5455,0.266,0.2885,2.0
M,0.63,0.48,0.165,1.286,0.604,0.271,0.35,1.0
F,0.635,0.495,0.18,1.596,0.617,0.317,0.37,3.0
F,0.635,0.495,0.195,1.297,0.556,0.2985,0.37,3.0
M,0.645,0.49,0.16,1.251,0.5355,0.3345,0.3165,2.0
M,0.645,0.5,0.175,1.5105,0.6735,0.3755,0.3775,3.0
F,0.65,0.5,0.185,1.4415,0.741,0.2955,0.341,2.0
M,0.67,0.52,0.19,1.6385,0.8115,0.369,0.391,2.0
F,0.69,0.545,0.205,1.933,0.7855,0.429,0.498,3.0
M,0.69,0.54,0.185,1.71,0.7725,0.3855,0.4325,1.0
F,0.695,0.55,0.155,1.8495,0.767,0.442,0.4175,2.0
M,0.695,0.525,0.175,1.742,0.696,0.389,0.505,3.0
F,0.7,0.575,0.205,1.7975,0.7295,0.3935,0.5165,3.0
F,0.705,0.56,0.205,2.381,0.9915,0.5005,0.624,2.0
M,0.765,0.585,0.18,2.398,1.128,0.512,0.5335,3.0
M,0.77,0.6,0.215,2.1945,1.0515,0.482,0.584,2.0
I,0.22,0.16,0.05,0.049,0.0215,0.01,0.015,1.0
I,0.275,0.205,0.07,0.1055,0.495,0.019,0.0315,1.0
